user_id	username	timestamp	The Lord of the Rings 	The Dark Knight 	The Shawshank	The Godfather: Part II	The Godfather	positive	negative
71	 jackson	 2024-03-26 18:45:00	0	1	0	0	0	0	1
72	 ava	 2024-03-26 18:45:00	0	0	1	0	0	1	0
73	 logan	 2024-03-26 18:45:00	0	0	0	1	0	0	1
74	 mia	 2024-03-26 18:45:00	1	0	0	0	0	1	0
75	 lucas	 2024-03-26 18:45:00	0	1	0	0	0	0	1
76	 harper	 2024-03-26 18:45:00	0	0	1	0	0	1	0
77	 oliver	 2024-03-26 18:45:00	0	0	0	1	0	0	1
78	 amelia	 2024-03-26 18:45:00	1	0	0	0	0	1	0
79	 ethan	 2024-03-26 18:45:00	0	1	0	0	0	0	1
80	 sophia	 2024-03-26 18:45:00	0	0	1	0	0	1	0
